dataset,algorithm,length,time,dimension,2opt_iters
weird20,Greedy,547,0.000003,20,0
weird20,Greedy(+2opt),449,0.000014,20,15
weird20,HeldKarp,439,43.175248,20,0
weird20,MCMF,564,0.000217,20,0
weird20,MCMF(+2opt),444,0.000224,20,0
weird20,MCMF_knn,564,0.000129,20,0
weird20,MCMF_knn(+2opt),444,0.000133,20,0
weird20,MST_CLRS,631,0.000007,20,0
weird20,MST_CLRS(+2opt),441,0.000011,20,0
weird20,Random,1113,0.000005,20,0
weird20,Random(+2opt),439,0.000013,20,0
a280,OPT,2579,,280,0
a280,Greedy,3157,0.000083,280,0
a280,Greedy(+2opt),2767,0.001876,280,57
a280,MCMF,3417,0.017186,280,0
a280,MCMF(+2opt),2705,0.020305,280,0
a280,MCMF_knn,3348,0.005874,280,0
a280,MCMF_knn(+2opt),2696,0.010401,280,0
a280,MST_CLRS,3492,0.000229,280,0
a280,MST_CLRS(+2opt),2908,0.005196,280,0
a280,Random,34855,0.000014,280,0
a280,Random(+2opt),2903,0.035177,280,0
xql662,OPT,2513,,662,0
xql662,Greedy,3124,0.000421,662,0
xql662,Greedy(+2opt),2693,0.021707,662,116
xql662,MCMF,3862,0.067495,662,0
xql662,MCMF(+2opt),2719,0.096462,662,0
xql662,MCMF_knn,3931,0.032809,662,0
xql662,MCMF_knn(+2opt),2737,0.068535,662,0
xql662,MST_CLRS,3593,0.001406,662,0
xql662,MST_CLRS(+2opt),2763,0.041230,662,0
xql662,Random,52751,0.000016,662,0
xql662,Random(+2opt),2714,0.341594,662,0
kz9976,OPT,1061882,,9976,0
kz9976,Greedy,1358249,0.062881,9976,0
kz9976,Greedy(+2opt),1141502,151.266202,9976,3340
kz9976,MCMF,1707487,210.830752,9976,0
kz9976,MCMF(+2opt),1138579,538.078474,9976,0
kz9976,MCMF_knn,1719092,21.772757,9976,0
kz9976,MCMF_knn(+2opt),1146693,318.118431,9976,0
kz9976,MST_CLRS,1456572,0.124187,9976,0
kz9976,MST_CLRS(+2opt),1162397,171.329367,9976,0
mona_lisa100K,OPT,5757191,,100000,0
mona_lisa100K,Greedy,6846598,16.988245,100000,0
mona_lisa100K,Greedy(+2opt),6816815,264.910312,100000,0
mona_lisa100K,MST_CLRS,8394831,32.032102,100000,0
